Wall time,Step,Value
1680120432.0874047,0,-0.016353970393538475
1680120479.6476958,10,-0.004724519327282906
1680120526.2265007,20,-0.0015539175365120173
1680120572.3576918,30,0.0012249595019966364
1680120615.8463898,40,-0.006553151644766331
1680120657.7145388,50,-0.003152980236336589
1680120700.4555225,60,0.0037211617454886436
1680120743.1462557,70,-0.005873584188520908
1680120785.413328,80,-0.004973826929926872
1680120827.720734,90,-0.0028242580592632294
1680120870.0193264,100,0.002189748454838991
1680120912.3197467,110,-0.003587195184081793
1680120954.4100728,120,-0.0035961149260401726
1680120995.885057,130,0.0063375504687428474
1680121041.0742438,140,0.004280255176126957
1680121088.536744,150,-0.004348438233137131
1680121135.8774173,160,-0.004254241473972797
1680121183.1292062,170,-6.227748235687613e-05
1680121231.4156294,180,-0.0037996890023350716
1680121278.1959195,190,-0.0010861154878512025
1680121336.6066258,200,-0.0048235091380774975
1680121382.9333584,210,-0.00267334608361125
1680121429.7277517,220,-0.003780868137255311
1680121476.8127117,230,-0.006549836602061987
1680121522.8565032,240,-0.0029730091337114573
1680121569.5559871,250,-0.0037095164880156517
1680121615.341629,260,-0.0005492228083312511
1680121661.0093217,270,-0.004575052298605442
1680121706.9222453,280,-0.0023304293863475323
1680121753.1574368,290,0.002284369897097349
1680121799.8492928,300,0.0014745109947398305
1680121844.781289,310,-0.0008106306195259094
1680121890.4976351,320,-0.0012467167107388377
1680121936.6416817,330,-0.0023132506757974625
1680121980.7718906,340,-0.004370434675365686
1680122023.4553733,350,0.0009357486851513386
1680122066.380299,360,-0.0018602819181978703
1680122111.5570388,370,-0.0007242112187668681
1680122156.6158736,380,0.0062004439532756805
1680122201.177486,390,-0.0021239484194666147
1680122256.3700993,400,-0.003020609263330698
1680122300.0526052,410,0.009242445230484009
1680122344.3780673,420,-0.0010177944786846638
1680122388.362918,430,-0.000623608473688364
1680122430.809367,440,0.0015531928511336446
1680122473.5273793,450,-0.00023162737488746643
1680122516.494155,460,-0.003161455038934946
1680122559.5473514,470,-0.003497169353067875
1680122602.2841425,480,-0.0017530359327793121
1680122644.9717338,490,0.0012506225612014532
1680122689.5319703,500,0.0009654903551563621
1680122733.6249511,510,-0.0006403989973478019
1680122778.381882,520,-0.002608953043818474
1680122820.8180108,530,0.0034120138734579086
1680122863.3358946,540,-0.0025191092863678932
1680122905.6610794,550,0.0014461461687460542
1680122948.9490666,560,-0.0014762994833290577
1680122991.7189462,570,-0.003201268147677183
1680123034.790368,580,-0.000363169121555984
1680123077.2784414,590,-0.003538971533998847
1680123131.8029563,600,-0.0028304127044975758
1680123175.2004733,610,-0.0041681742295622826
1680123219.066894,620,-0.003545768791809678
1680123262.7887936,630,-0.002121512545272708
